,start,end,text
0,0.0,11.0," The Kalahari, the largest expanse of sand on the planet."
1,11.0,18.0," At its center lies a living, breathing miracle."
2,18.0,22.0, The Yacovango Delta.
3,23.0,33.0," Each year when the land is at its driest,"
4,33.0,45.0, distant rainfall fills its veins once again.
5,45.0,56.0, The Great Flood is the heartbeat.
6,56.0,73.0, Transforming this land into a wildlife paradise like none on Earth.
7,75.0,90.0, Transforming this land into a wildlife paradise like none on Earth.
8,90.0,97.0, Transforming this land into a wildlife paradise like none on Earth.
9,105.0,134.0, It's the start of winter. The land is dry.
10,134.0,156.0, The rivers have vanished and the flood is yet to come.
11,156.0,166.0, Flocks of hungry queers scowl the flood plains by the thousands.
12,166.0,178.0, The grasses have withered and died. Now only their seeds lie dormant in the dry sand.
13,178.0,202.0, A scramble for food is underway.
14,202.0,211.0, These dry unbroken flood plains are the ideal hunting grounds for a cheetah.
15,211.0,240.0, Especially a mother with three growing cubs to feed.
16,241.0,250.0, Her cubs are completely dependent on her for food.
17,250.0,269.0, An impala would make the perfect meal.
18,269.0,288.0, But the cubs are still too young to hunt. They'll stay behind to watch and learn.
19,288.0,301.0," She is a skilled hunter. Approaching in silence, she selects her quarry."
20,301.0,317.0, Impala horns can be lethal. She cannot afford to make a mistake.
21,318.0,331.0," Speed, yes. But agility too. These are the cheetah's greatest assets."
22,348.0,377.0, It's a dangerous takedown. But she knows precisely how to kill.
23,378.0,403.0, Her son is eager to help. He is learning fast.
24,403.0,414.0, His sister is a little less confident.
25,414.0,435.0," For now, feeding her family is easy. But when the flood comes, it will be another story."
26,435.0,458.0," To survive in this dry season, timing is everything. And the leopard is to timing, as the cheetah is to speed."
27,458.0,477.0," Just when most plants have withered and died, that's when Cagalia trees burst into life."
28,477.0,487.0, Their deep red flowers are filled with sweet nectar.
29,487.0,498.0, Their vitamin G's are enticed to drink. And they help pollinate the trees.
30,498.0,517.0," In a land that has grown so dry, the juicy blossoms are simply irresistible."
31,517.0,533.0," Soon, a velvet carpet covers the ground, drawing the impala to join the feast."
32,533.0,543.0, And it's the impala that this leopard is after.
33,543.0,562.0," Soon, a velvet carpet covers the ground, drawing the impala to join the feast."
34,562.0,569.0, Now is the time to make a move.
35,569.0,578.0," Silently, stonfully."
36,578.0,597.0, The leopard's ambush is set. All she must do is wait.
37,608.0,618.0, The impala have no idea who's about to drop by.
38,638.0,648.0, The impala have no idea who's about to drop by.
39,648.0,658.0, The impala have no idea who's about to drop by.
40,658.0,678.0, The impala have no idea who's about to drop by.
41,678.0,698.0, The leopard is surely the most cunning of cats.
42,698.0,708.0," Every year in highlands far to the north, heavy rains fall."
43,728.0,748.0, From a trickle to a flow.
44,748.0,760.0, This is the great flood's first pulse.
45,760.0,770.0, Filling the veins and arteries of this thirsty land.
46,770.0,778.0, It rejuvenates the barren sands.
47,778.0,788.0, And brings the promise of renewal.
48,788.0,794.0, This wave of water will transform everything.
49,794.0,804.0, As a great oasis is born.
50,824.0,838.0, The scent of water beckons on the wind.
51,838.0,848.0, Drawing herds of grazers back to their winter pastures.
52,848.0,856.0," For thousands of cake buffalo, the flood rolls out a green life sustaining banquet."
53,856.0,864.0, Some travel many miles to get here.
54,864.0,874.0, The resident lions lie in wait.
55,894.0,906.0," For this travel weary mother, there is no rest yet."
56,906.0,918.0, Her calf now faces the most perilous challenge of its life.
57,918.0,946.0, These young lions think they have an easy meal.
58,946.0,970.0," But the harder they try, the harder this mother fights."
