,start,end,text
0,0.0,9.0, Music
1,9.0,16.0, Moscow will forever be known as a scene of one of the most tragic crimes in American history.
2,16.0,21.0, There's still sort of a darkness whenever you talk to people.
3,21.0,27.0, It would be ever part of the university's history and the town's history.
4,28.0,33.0," There are four very, very important names in this case."
5,33.0,39.0," Kayli Gonzalez, Madison Mogan, Zana Cronodal and Ethan Chapin."
6,39.0,45.0," And if you're going to remember any names from this case, I ask that it be all four."
7,45.0,50.0, My name is Olivia Gonzalez and Kayli was my little sister.
8,50.0,56.0, Everybody's going to work and you look out the window and there's kids running down the street laughing and you're just like...
9,57.0,60.0, How can you be out there playing? My daughter's dead.
10,60.0,63.0," You know, Kayli Gonzalez's office is gone."
11,63.0,68.0," Stop everything. Everybody in the whole world, stop."
12,68.0,71.0, And everything just keeps going.
13,72.0,80.0," My sister, Zana Cronodal, is one of the happiest, funniest people I've ever met."
14,80.0,92.0, And I had the awesome privilege of growing up with her and I still have a hard time coming to terms with the facts that it did happen.
15,95.0,103.0," Brian Coburger is accused of stabbing these four University of Idaho students in the pre-dawn hours on November 13th, 2022."
16,103.0,109.0," The murder weapon, which was a knife, has never been found. This is a type of survival knife."
17,109.0,115.0, Brian Coburger did not make his own plea. The judge entered a plea for him of not guilty.
18,115.0,120.0, He asked the penalties for life in prison or the death penalty.
19,120.0,123.0," Due to the nature of the crimes, the state of Idaho is seeking the death penalty."
20,123.0,125.0, He was there to kill.
21,125.0,128.0, He came in with the kit. I believe he had a kill kit.
22,128.0,136.0," And you believe that everything right down to the implement of destruction, this large marine knife, that was all planned."
23,136.0,138.0, All planned.
24,138.0,147.0," Inhumane, you wouldn't do these type of things to any living creature, let alone an innocent human being."
25,147.0,156.0, The star piece of evidence in the prosecution's case is the DNA that was found on the knife sheath that was left at the crime scene.
26,156.0,163.0, But there's so much other evidence that's also pointing towards nobody else that we're aware of.
27,163.0,167.0, How was Brian Coburger's car spotted leaving the scene?
28,167.0,172.0," Why was his cell phone seen there 12 times, including the morning after the offense?"
29,172.0,177.0, The prosecution would like everyone to believe that it's an open and shut case.
30,177.0,184.0, But I think the facts they have make the case more open than open and shut.
31,184.0,192.0," According to the defense, there is no connection whatsoever between Brian Coburger and the victims."
32,192.0,196.0," And if there is no connection, then there is no motive."
33,196.0,201.0," And if there is no motive, then it becomes very hard to make the case that he is the killer."
34,201.0,205.0," And this is a graduate student, not a trained assassin."
35,205.0,211.0," It's more so about putting these pieces together, because I know what the puzzle looks like at the end."
36,211.0,217.0," I have the box in front of me, but I'm missing so many pieces."
37,217.0,224.0, How did all of these pieces fall to create what I'm living in right now?
38,224.0,226.0, Where did this come from?
39,247.0,253.0, How did all of this fall to create what I'm living in right now?
40,253.0,259.0, Where did this come from?
41,259.0,263.0, Where did this come from?
42,263.0,278.0, It was not the news Steve and Kristi Gunzalves wanted to hear.
43,278.0,285.0," In August of 2023, just six weeks before the murder trial of Brian Coburger was set to begin,"
44,285.0,288.0, he waived his right to a speedy trial.
45,288.0,290.0, Should we go to the big end?
46,290.0,291.0, Absolutely.
47,291.0,296.0, They would have to wait indefinitely for their day in court.
48,296.0,311.0," I was really hoping that we could get this show on the road because the not knowing, it just, it's agony. It's agony."
49,311.0,316.0," Steve and Kristi, the parents of Kaylee, haven't left anything to chance."
50,316.0,324.0," After the judge issued a gag order to attorneys and law enforcement quote, to preserve the right to a fair trial,"
51,324.0,332.0, they drilled down on their own investigation and are now sharing what they believe that investigation found.
52,332.0,338.0, Steve says he believes transparency is the best path to justice.
53,338.0,344.0, We're not going to just sit back and cross our fingers and pray that we're going to get justice.
54,344.0,359.0," It has been a long and painful journey for the families of Kaylee Gonzalez, Maddie Mogan, Zanna Kernodal and Ethan Chapin."
55,359.0,370.0," The four University of Idaho students who were savagely murdered by a knife wielding a silent in the wee hours of November 13, 2022,"
56,370.0,375.0, as they settle down to sleep in their off-campus house on King Road.
57,375.0,377.0, Do you ever dream of your sister?
58,377.0,388.0," Yeah, I've had some dreams of her. There's times where I prayed and asked God to see her again other time and I did and"
59,388.0,392.0, just gives me some peace knowing that I know she's okay.
60,393.0,407.0," Jasmine Kernodal, who is speaking for the first time, was a senior at Washington State University and lived only 15 minutes away from her younger sister Zanna."
61,407.0,412.0," Often mistaken as twins growing up, she says they were best friends."
62,412.0,419.0, She was always fun. She was uplifting and she took any bad situation and turned it into a good one.
63,419.0,423.0," Jeff, what did you love most about your daughter?"
64,423.0,434.0, Everything. She cared about people. She was a people person. She cared about her friends just as much as like her family.
65,434.0,446.0," For the first time in her life, Zanna had fallen in love with fellow student Ethan Chapin, a triplet who loved his siblings, boats and working on a tulip farm."
66,446.0,453.0, The sweetest kid ever. They were just two happy people and they're just seeing the videos and photos of them.
67,453.0,458.0, You can just like tell how happy they are. They're just amazing together.
68,458.0,463.0," Sadly, they will now forever be linked in death."
69,463.0,473.0," On Sunday morning, November 13th, Zanna's friends started calling Jasmine, saying something bad had happened on King Road."
70,473.0,476.0, Jasmine rushed over to Zanna's house.
71,476.0,481.0," And while you're driving that eight, nine miles over to the house, are you trying to reach your sister then?"
72,481.0,483.0, How many times do you call her?
73,483.0,486.0, A lot. I call her a lot. I call Ethan a lot.
74,486.0,489.0, Her next call was to her father.
75,489.0,494.0, Jeffrey had been visiting Jasmine for dad's weekend and was on his way home.
76,494.0,496.0, So you answer the phone. What do you hear?
77,496.0,503.0, I hear her kind of crying and just telling me to get back to Moscow and meet me at Zanna's house.
