11.0,"11.0th Second frame caption is: the sahara desert, with a yellow square in the middle and a yellow square in the middle"
17.64,17.64th Second frame caption is: the sun shining through the clouds over a river in the middle of the picture is an image of the sun shining through the clouds
22.56,22.56th Second frame caption is: a bird flying in the air with its wings extended and it's head in the air
25.92,25.92th Second frame caption is: a man with a bird on his arm in a scene from game of thrones
25.96,25.96th Second frame caption is: a man in the desert with his arm extended to the arm of a man with a knife
26.0,26.0th Second frame caption is: a man in the desert with his arm extended to the arm of a man in the man
26.04,26.04th Second frame caption is: a man on a horse in the desert with the capt in the middle of the frame
26.080000000000005,26.080000000000005th Second frame caption is: a bird with its wings spread out and it's sitting on a rock in the desert
26.12,26.12th Second frame caption is: a man in the desert with his arm extended to the arm of a man in the image shows the arm of a man in
26.16,26.16th Second frame caption is: a man in the desert with his arm extended to the arm of a man in the image shows the arm of a man in
26.2,26.2th Second frame caption is: a lion in the wild with the caption of the caption in the bottom right corner
26.240000000000006,26.240000000000006th Second frame caption is: a bird flying in the air with its wings spread out and it is looking at the camera
26.28,26.28th Second frame caption is: a man in the desert with his foot on the ground and his foot on the ground
26.32,26.32th Second frame caption is: a bird with its wings spread out and it's head turned to the camera
26.36,26.36th Second frame caption is: a bird that is flying in the air with it's wings spread out to the ground
26.400000000000006,26.400000000000006th Second frame caption is: a bird that is flying in the air with its wings spread out and its wings spread out
26.44,26.44th Second frame caption is: a bird that is sitting on a tree stump in the middle of the image is a bird that is sitting on a tree stump
26.48,"26.48th Second frame caption is: a dinosaur with its mouth open and its mouth open, with the tail extended to the tail"
26.52,26.52th Second frame caption is: a man standing in the middle of a desert with his arm extended to the ground
26.560000000000006,"26.560000000000006th Second frame caption is: a man in the desert with his foot on the ground, with the capt that reads,'the walking dead '"
26.6,"26.6th Second frame caption is: a man standing in the desert with his foot on the ground, with the words,'the walking dead'in the background"
26.64,"26.64th Second frame caption is: a man in the desert with his foot on the ground, with the capt that reads,'the walking dead '"
26.68,"26.68th Second frame caption is: a man in the desert with his arm extended to the ground, with the words,'the walking dead'in the background"
26.72,"26.72th Second frame caption is: a man with a beard and a beard on his head, standing in the desert"
26.76,26.76th Second frame caption is: a man with a sword in the middle of the image is an image of a man with
26.8,"26.8th Second frame caption is: a godzilla with its head in the air, with the words'godzilla'written on it"
26.88,26.88th Second frame caption is: an elephant standing in the middle of a field with a dead tree in the background
31.36,"31.36th Second frame caption is: water on the beach with rocks and rocks in the fore, and a yellow square in the center of the frame"
39.96,39.96th Second frame caption is: a close up view of a sand covered beach with a yellow square in the middle of the image
42.28,42.28th Second frame caption is: a small stream in the middle of a field with grass and weeds in the background
44.76,44.76th Second frame caption is: a river in the middle of a field with trees and a blue sky in the background
48.76,"48.76th Second frame caption is: a man floating in the water with his head in the water, with a yellow light shining"
52.72,52.72th Second frame caption is: two deers in a field with trees in the background and a yellow square in the middle of the frame
54.28,54.28th Second frame caption is: two deers in a field with a yellow square in the middle of the frame
55.84,55.84th Second frame caption is: a snake in the middle of a grassy field with a yellow arrow pointing towards it
57.4,57.4th Second frame caption is: two gis standing in a field of tall grass and a tree is in the background
60.52,60.52th Second frame caption is: a cat running through a spering sp of water from a spering spering spering spering spering spering sp
60.56,60.56th Second frame caption is: a dog running in a field of grass with a spray of water in the air
60.6,60.6th Second frame caption is: a dog running through a field of grass with the caption of a dog running through a field of grass
60.64,60.64th Second frame caption is: a dog running in a field of grass with a spray of water in its mouth
60.68,60.68th Second frame caption is: a dog running through a field of grass with a yellow square in the middle of the frame
60.72,60.72th Second frame caption is: a dog jumping in the air with a ball in it's mouth and it's paw in the air
60.76,60.76th Second frame caption is: a dog playing in a field of grass with a water hose coming out of its mouth
60.80000000000001,60.80000000000001th Second frame caption is: a dog playing in a field of grass with a water hose coming out of its mouth
60.84,60.84th Second frame caption is: a dog playing in a field of grass with a spray of water on its head
60.88,60.88th Second frame caption is: a dog jumping in the air with a ball in it's mouth and it's head in the air
60.92,60.92th Second frame caption is: a dog running through a spering spe in the grass of a grassy field
60.96,60.96th Second frame caption is: a dog running in the grass with water splashing on it's back legs
61.0,61.0th Second frame caption is: a person spraying water on a green grass field with a yellow square in the middle of the frame
61.04,61.04th Second frame caption is: a dog running in the grass with a spray of water on it's head
61.08,61.08th Second frame caption is: a person jumping in the air with a spray of water on their feet and feet
61.12000000000001,61.12000000000001th Second frame caption is: a person jumping in the air with a spray of water on their feet and feet
61.16000000000001,61.16000000000001th Second frame caption is: a person jumping in the air with a green field in the background and a yellow square in the middle
61.2,61.2th Second frame caption is: a dog jumping in the air with a splash of water on it's face
61.24,61.24th Second frame caption is: a dog jumping in the air with a splash of water on it's face
61.28,61.28th Second frame caption is: a dog running through a field with water splashing on it's back legs
61.32,61.32th Second frame caption is: a dog running in the grass with water coming out of it's back legs
61.36,61.36th Second frame caption is: a dog running in the grass with water splashing on it's back legs
61.4,61.4th Second frame caption is: a dog running through a spoon of water in the grass in the background is an image of a dog running through a sp
