,start,end,text
0,0.0,2.84," In this series, I'm going to surprise you."
1,2.84,5.64, I'm going to strip away all the complexity and hard graft
2,5.64,9.040000000000001, and teach you how to cook amazing food standing on your head.
3,9.040000000000001,10.28, That is amazing.
4,10.28,11.68, Incredibly tender.
5,11.68,13.48," From the kitchen novice to the budding chef,"
6,13.48,15.32," I'm going to give you the confidence, the recipes,"
7,15.32,18.32, and the insider knowledge to make you a much better cook.
8,18.32,20.56," Slice her out, wasting nothing."
9,24.0,27.36, I've been cooking in professional kitchens for over 25 years.
10,27.36,29.36, What cheese is in the macaroni now?
11,29.36,31.8," I've been taught by some of the best chefs in the world,"
12,31.8,34.36," and in turn, I've taught some of the best."
13,34.36,36.36, How much whiskey is in there?
14,36.36,37.76, A little bit.
15,37.76,40.36," Now, I'm going to show you some simple and accessible recipes"
16,40.36,43.36, for fantastic food that you can easily cook at home.
17,43.36,45.36, Mm. Incredible.
18,45.36,47.36, I'll be holding you by the hand.
19,47.36,49.36, Just getting better and better and better.
20,49.36,52.36, Teaching you everything from how to cook with chili and spice
21,52.36,56.36," to baking, real fast food, and my ultimate feast recipes."
22,56.36,59.36, This is the only cookery course you'll ever need.
23,61.36,63.36, Welcome to my ultimate cookery course.
24,63.36,65.36," Packed with cooking tips, information,"
25,65.36,68.36, and 100 recipes to stake your life on.
26,68.36,71.36, The frying pan is one of your best friends.
27,71.36,73.36, It's so versatile in the kitchen.
28,73.36,75.36," Learning to use it with ease is a must,"
29,75.36,77.36, and I'm going to show you how.
30,77.36,80.36," First up, my delicious pan-fried pork chops"
31,80.36,83.36, with sweet and sour peppers.
32,84.36,86.36," Whether it's in the restaurant or even at home,"
33,86.36,89.36, one of my golden rules for producing fantastic food
34,89.36,91.36, is learning to cook with confidence.
35,91.36,93.36," This recipe is so straightforward,"
36,93.36,95.36, but tastes absolutely amazing.
37,98.36,101.36, Pan on. Get that nice and hot.
38,101.36,104.36," You think of the sort of density of a pork chop,"
39,104.36,107.36, how it needs a little bit of help.
40,107.36,110.36, Sweet and sour peppers go brilliantly well.
41,110.36,112.36," First, slice the peppers."
42,112.36,115.36," That's the flat side of the pepper, so stand it up."
43,115.36,117.36, Try to slice a pepper on the side.
44,117.36,119.36, It's a nightmare.
45,119.36,121.36, There's the center. Start off.
46,121.36,123.36, It's almost like sort of peeling an orange.
47,123.36,125.36, Go all the way around and down.
48,127.36,129.36," And look, that's the one."
49,129.36,131.36," Now, place the pepper down."
50,131.36,133.36, Three finger rule.
51,133.36,135.36," One finger in front, two behind."
52,135.36,138.36," Pinky, holding it down. Thumb holding it nice and flat."
53,138.36,141.36," The flatter the vegetables, the more confident you are"
54,141.36,143.36, when you slice.
55,143.36,145.36," So, don't worry about the speed."
56,145.36,147.36, Just let the knife do the work
57,147.36,149.36, and take your time.
58,149.36,151.36, Speed comes.
59,151.36,154.36, The most important thing is to get your technique right.
60,154.36,156.36, Red onion.
61,159.36,161.36," Now, sweet and sour peppers."
62,161.36,163.36, Olive oil in.
63,165.36,167.36," I'm going to saute them,"
64,167.36,169.36, which is just the chef's turn for shallot fry
65,169.36,171.36, on a high heat for maximum taste.
66,172.36,174.36, Some salt and pepper.
67,174.36,176.36, Add a tablespoon of sugar.
68,176.36,178.36," Sugar helps to break down the peppers quicker,"
69,178.36,180.36, but caramelizes the onions.
70,180.36,182.36, Fry them in a frying pan. Perfect.
71,182.36,184.36, It's one of the sort of basic essential tools
72,184.36,186.36, of any kitchen because it's so multi-purpose.
73,186.36,189.36," Great for sauteing, tossing."
74,189.36,191.36, Great for cooking fish and meat.
75,192.36,194.36, Push away and pull back.
76,194.36,196.36, Push away and pull back.
77,196.36,198.36, That hissing is something you need to hear constantly
78,198.36,200.36, on a high heat for maximum taste.
79,200.36,202.36," The minute that's gone, your peppers and your onions"
80,202.36,204.36, start to boil and you really want them to saute.
81,204.36,206.36, You can now start to see it glistening
82,206.36,208.36, in a way that it's starting to caramelize.
83,208.36,210.36, Sugar's working usefully.
84,210.36,212.36, That's ready.
85,212.36,214.36, Pour the red wine vinegar in.
